date,England,Wales,Scotland,North East,North West,Yorkshire and The Humber,East Midlands,West Midlands,East England,London,South East,South West
2018-12-01,107.35173881892027,103.06903579620344,101.72932040338205,102.1398428776465,104.44822229120976,105.8434409067857,110.28556733772771,107.56296509646712,109.53909808270153,106.40081278594826,109.68712657569797,107.87592132550976
2019-01-01,107.4465717467815,103.05363444217328,101.8477222274405,102.15112101098353,104.62176696360714,106.02244291126748,110.46247316867637,107.64100078331671,109.51329027980418,106.36326811209776,109.88743238884338,108.24999110312274
2019-02-01,107.57731330798129,103.25256404381145,101.84569604012015,102.11692287012897,104.7570211225491,106.18305448087328,110.61673621903346,107.80056473291675,109.62989809354357,106.46223613522345,110.06984529553432,108.42490223974475
2019-03-01,107.69225239178472,103.32483676313373,101.94495537198705,102.16922451205164,104.92850721692524,106.25652106806787,110.76329455118996,107.83714261053746,109.76320118001048,106.60373320482293,110.17667334932304,108.46362148596637
2019-04-01,107.78888347096482,103.43101579601388,102.01713761860051,102.22438693374718,105.08979237117684,106.3119189945536,110.85055135223226,107.9742787495843,109.78854565879695,106.65708521860498,110.39758790362049,108.56934166142389
2019-05-01,107.971173019794,103.45258978509663,102.0522424392649,102.34260792871508,105.17150744233292,106.42687254300571,111.00643704265971,107.77851365590291,109.94463707373659,106.99150142380789,110.38694554482025,108.8906223103758
2019-06-01,108.07572731209633,103.46602417557425,102.23138864304889,102.35855973040238,105.31163474008096,106.62356534325686,111.26463662296362,108.00632580673235,110.08698896583937,107.01666161901733,110.52207574854268,108.99122992779762
2019-07-01,108.22082679017346,103.58773869146836,102.25415608075537,102.49351183293618,105.38162309578243,106.74874522596743,111.40595641024251,108.14627268056547,110.19693376245118,107.18739829369844,110.66054014302591,109.16232223771519
2019-08-01,108.28123652413485,103.79150828706491,102.3941143804134,102.43628262670931,105.46137420916202,106.77753671183838,111.52868036801131,108.30871018471075,110.41585201904742,107.13629240326561,110.7715551163202,109.38536464043355
2019-09-01,108.43157173393334,103.86924664652915,102.37902296298947,102.52468759744507,105.46628593633926,107.32186846149956,111.72842523673776,108.42892340970354,110.56374622628043,107.23318734911315,110.89097929018597,109.62566271764172
2019-10-01,108.56086637571971,103.94408262633034,102.26895389210091,102.5336626118102,105.5173289577052,107.39297134881546,112.06091391089055,108.56775318712349,110.6702492089644,107.30445375436366,111.08629537410506,109.93916637352991
2019-11-01,108.72192640378306,103.99242154861594,102.42824520105512,102.56345412736935,105.62578774067207,107.7726996362899,112.50790091552321,108.83223688064942,110.98311869231536,107.37599410444577,111.18292511312433,110.11248588728722
2019-12-01,108.88714558414334,104.29166827974609,102.35606862870404,102.69763285126379,105.67801358711826,107.84483048083338,112.59499655022347,108.97792018192925,111.13225181084854,107.64130736431487,111.24525257375468,110.28235679315065
2020-01-01,109.07104478255387,104.37353725629485,102.42176755242487,102.79819985959197,105.73197005814565,108.16471824892375,112.9359835399361,109.40895806926338,111.31150818233564,107.7168551106993,111.38111285582724,110.76999054242096
2020-02-01,109.10321093876023,104.52551702883277,102.42349214754076,102.84067310939693,105.79029963404625,108.18476371240232,113.05072154646014,109.46560250509432,111.43594063857505,107.6813157219046,111.42223619435264,110.88641498154081
2020-03-01,109.25112637378433,104.56096986131129,102.56135766061601,102.85906336313727,105.9277742448697,108.36832392963755,113.32819177637047,109.5346467831772,111.48556785130019,107.91011283433696,111.43763998205087,111.04030088954006
2020-04-01,109.42019048938312,104.47919730291251,102.71716687678875,102.9436885230603,106.04334026462921,108.47655161638103,113.53856298592537,109.85996151410137,111.72625034664546,108.03903192311289,111.52054563584323,111.4385861407369
2020-05-01,109.61316482644648,104.66187702469566,102.71150494961879,103.16585057754612,106.27430440357773,108.78884261094632,113.73740320988071,110.14136713296014,111.85091396419222,108.22805193717333,111.67067668461644,111.59697154719646
2020-06-01,109.70614689615921,104.92375741638185,102.81865375152792,103.33699474711588,106.40839902540395,108.86421533098138,113.87844914473271,110.24231652282646,111.85873857311654,108.33256344783624,111.69601370225139,111.76695736519602
2020-07-01,109.78110049170711,105.25282124520218,102.83774213632546,103.43911192362422,106.49588839821791,108.97844721485089,114.03928671722132,110.39074481985782,111.95780195656013,108.33720710371004,111.77595926308632,111.94544334035979
2020-08-01,109.92675242022656,105.29390366977019,102.871632310007,103.51178015804116,106.69651604028519,109.01187479957444,114.18951792639878,110.57340456788394,112.08829098753013,108.51793395895461,111.85935026255392,112.09950356601463
2020-09-01,110.07233844289016,105.4369055106798,102.99264422830467,103.66078134214969,106.85716760573531,109.16865561799185,114.6134432329426,110.88687431227969,112.21712156713181,108.55574510516028,112.05515687789595,112.31132170353963
2020-10-01,110.10332173769936,105.55662777538632,103.10779630010711,103.72521125780523,107.02352345110593,109.69492970521108,114.73024741191664,111.09791391762845,112.43693201726745,108.24797518290039,112.28362106514574,112.5071596653725
2020-11-01,110.23916378698806,105.68007182088839,103.05608784335351,103.84447046705444,107.1994173969286,109.57528217201273,115.00525844233462,111.26101285382543,112.43878522090446,108.51547171968845,112.20002964074742,112.68946440544619
2020-12-01,110.38493055776057,105.83221469214547,103.27258814840707,103.95493381834132,107.31254970042505,109.61321777836818,115.24434564263125,111.3543045406151,112.65732719498496,108.56681822411667,112.40966500614815,113.129706867762
2021-01-01,110.43970066488691,106.05990003969958,103.4191549682421,104.02021332436891,107.55930761897822,109.73222057814193,115.4123533143117,111.3675993268221,112.70818970390613,108.55169396526037,112.46870911102131,113.20286188444453
2021-02-01,110.55083924295886,106.07862536996933,103.52520518337388,104.2588729363588,107.77890453096428,109.94884840446512,115.58105313380463,111.49429383093357,112.87064563371875,108.54499294603124,112.56782082395529,113.48413572103134
2021-03-01,110.62182925425088,106.13679179841728,103.59939579454098,104.31620443438756,107.97171788059823,110.1104821542374,115.71035879748473,111.6316938772138,112.96127151463725,108.45086846502126,112.73331063921515,113.75651062737526
